media_moradores_por_domicilio,media_rendimento_medio_por_morador_com_ou_sem_renda,media_rendimento_medio_por_morador_com_renda,media_rendimento_medio_por_morador_reponsavel_com_ou_sem_Renda,media_rendimento_medio_por_morador_responsavel_com_renda,n_alfabetizados_homens,n_alfabetizados_mulheres,n_amarelos,n_brancos,n_domicilios,n_homens,n_idade_0_10,n_idade_11_20,n_idade_21_30,n_idade_31_40,n_idade_41_50,n_idade_51_60,n_idade_61_70,n_idade_71_100,n_indigenas,n_moradores,n_mulheres,n_pardos,n_pretos,variancia_moradores_por_domicilio,geometry,h3_boundary,centroid,index_right,Cod_bairro,Cod_distrito,Cod_meso,Cod_municipio,Cod_subdistrito,Nome_Grande_Regiao,Nome_da_UF,Nome_do_municipio,Nome_do_subdistrito
3.591452036824199,348.14484092408713,638.6527892411053,606.5846550093438,754.3717717020508,314.4146744518371,313.924767564313,3.0091959988640173,135.668476927094,220.3203139071995,413.5167142547148,164.8889572705373,165.8856915903453,146.15213060032664,117.5414686995793,85.23159985186072,58.36754982365519,38.72648101067175,20.637539329531176,0.5561247834120879,810.2182477244053,397.67751436115896,627.3570986976564,44.603332208847895,3.76555367525085,"POLYGON ((-48.49744305338295 -1.3123953868649414, -48.4693249218168 -1.289115432094053, -48.475182319995504 -1.2531451434693253, -48.509153395971204 -1.2404581995119799, -48.537266482443144 -1.2637363238707278, -48.53141354102616 -1.2997032193788347, -48.49744305338295 -1.3123953868649414))",868044487ffffff,POINT (-48.50329641834121 -1.2764261850790388),150140267000026,1501402000.0,150140267.0,1503.0,1501402.0,15014026700,Região Norte,Pará,BELÉM,OUTEIRO
4.041392169683244,412.8712747541212,786.4067767078558,776.4130233944641,936.4098535347696,374.68241021724026,376.3921474704988,7.037300659460008,185.56224924209545,238.6502525866968,483.4487268175004,200.4868123248457,209.8098693497012,192.30492974363716,140.65560530859543,93.35809694405188,56.16225664678509,28.041046080528798,18.85854512394874,1.5488121999660542,957.0754448842472,475.340362407266,709.7574146389961,54.88331248424947,4.142943681611208,"POLYGON ((-48.541969634364484 -1.4309003327767267, -48.51385038773139 -1.4076241627009707, -48.51970549368145 -1.3716471678060336, -48.55367538254597 -1.3589497782852449, -48.58178955324669 -1.3822241663658132, -48.57593891400225 -1.4181977227527853, -48.541969634364484 -1.4309003327767267))",86804458fffffff,POINT (-48.547820687447974 -1.3949244522358408),150140267000026,1501402000.0,150140267.0,1503.0,1501402.0,15014026700,Região Norte,Pará,BELÉM,OUTEIRO
3.5637929579545733,330.04359494834534,605.98548769444,572.9917838304209,715.7789209968356,292.6284947779495,287.3901403826894,2.641687581432052,116.56062644941268,209.6253912114771,395.8800120888045,162.15658174955752,160.3249806406675,137.13378550042398,109.7528165280819,77.82165459089447,53.80806660163216,36.90551366598811,18.416271831374612,0.4703442968893796,768.7680411349284,373.5125106004998,609.143943948322,40.57592041324824,3.791851775718386,"POLYGON ((-48.475182319995504 -1.2531451434693253, -48.44706475869211 -1.2298634103624904, -48.45292330004255 -1.1938965911083457, -48.486894953906386 -1.181214872136404, -48.51500748553629 -1.2044947506586023, -48.509153395971204 -1.2404581995119799, -48.475182319995504 -1.2531451434693253))",86804449fffffff,POINT (-48.48103683795319 -1.217179397299579),150140267000026,1501402000.0,150140267.0,1503.0,1501402.0,15014026700,Região Norte,Pará,BELÉM,OUTEIRO
3.770408683111895,363.9535815698004,680.9347973041322,657.3670936529811,807.432850419842,322.1312190871686,319.5136840762571,4.434457845054573,142.5924540217965,218.3358717374505,427.316383818164,176.83435585256677,179.14891564939165,158.7113544344903,120.79788667336116,82.72246882505715,53.55947431549432,32.43862926121798,18.266642617061716,0.7784998062998065,836.8940780684346,410.6399521166457,645.3870415426791,44.76388271898031,3.9481808929704183,"POLYGON ((-48.51970549368145 -1.3716471678060336, -48.49158680033791 -1.3483690673807018, -48.49744305338295 -1.3123953868649414, -48.53141354102616 -1.2997032193788347, -48.55952717385587 -1.3229795135886517, -48.55367538254597 -1.3589497782852449, -48.51970549368145 -1.3716471678060336))",8680444a7ffffff,POINT (-48.52555770368143 -1.335674587885734),150140267000026,1501402000.0,150140267.0,1503.0,1501402.0,15014026700,Região Norte,Pará,BELÉM,OUTEIRO
3.7438155293517537,566.6681458791788,975.364484549132,1032.1024345038572,1196.810327652642,397.7710907741846,429.1302945462006,7.258388538299214,225.9894683947207,261.4718085937639,483.927537729199,172.80595011379867,188.46115026898045,190.2057885419125,160.84989340725602,114.0605996940502,75.50320117276024,44.59116153593647,27.99559251457704,1.334874093801775,989.5047730650924,506.239221327173,685.1247895927738,70.45923843677946,3.8354463780068353,"POLYGON ((-48.47987213069172 -1.4203264570064404, -48.451748402260314 -1.3970465617912982, -48.45760796295975 -1.3610661702766862, -48.49158680033791 -1.3483690673807018, -48.51970549368145 -1.3716471678060336, -48.51385038773139 -1.4076241627009707, -48.47987213069172 -1.4203264570064404))",86804459fffffff,POINT (-48.485727664116695 -1.3843471621189751),150140267000026,1501402000.0,150140267.0,1503.0,1501402.0,15014026700,Região Norte,Pará,BELÉM,OUTEIRO
3.726724227732224,540.7085315577227,947.9609603312032,958.0740728944862,1147.2290977792038,469.1507407956005,512.109149821779,9.01170851881396,270.67180868350965,307.5312294711294,556.8295756005783,203.0775234978061,227.8796255998748,226.72107250666585,196.8554978455323,135.18281798315,80.39502754894818,39.48284998893351,22.82444871110785,2.245533100984178,1150.0716035147375,594.7277046153959,772.7080154781713,96.90129308703722,3.295307941402576,"POLYGON ((-48.45760796295975 -1.3610661702766862, -48.42948481173721 -1.3377843965103589, -48.435345514549745 -1.3018073420649146, -48.4693249218168 -1.289115432094053, -48.49744305338295 -1.3123953868649414, -48.49158680033791 -1.3483690673807018, -48.45760796295975 -1.3610661702766862))",8680444b7ffffff,POINT (-48.46346464832969 -1.3250901987055264),150140267000026,1501402000.0,150140267.0,1503.0,1501402.0,15014026700,Região Norte,Pará,BELÉM,OUTEIRO
3.562500424683094,326.42253891259435,600.0138215272128,566.0319424762575,708.4782094571741,281.8125335946679,275.87503288686275,2.4375002905726437,109.62501306831837,202.75002416968343,384.2500458061695,158.68751891702414,155.6250185519457,132.93751584738493,105.56251258403064,74.56250888854265,51.56250614672899,35.81250426918268,17.81250212341547,0.1875000223517418,744.6875887736678,361.0000430345535,596.0000710487366,37.00000441074371,3.7987504528462894,"POLYGON ((-48.537266482443144 -1.2637363238707278, -48.509153395971204 -1.2404581995119799, -48.51500748553629 -1.2044947506586023, -48.54897020082266 -1.1918128352010886, -48.577078216800196 -1.2150891177325782, -48.57122859097142 -1.2510491543300106, -48.537266482443144 -1.2637363238707278))",86804448fffffff,POINT (-48.54311652303757 -1.227773965800644),150140267000026,1501402000.0,150140267.0,1503.0,1501402.0,15014026700,Região Norte,Pará,BELÉM,OUTEIRO
3.738657882813978,533.6260056029305,915.6192988450472,939.6275600112788,1105.8076992077924,395.454678911048,433.3206692290817,7.147917544658423,230.6876043622325,258.31146069265225,467.2645159151476,166.70630356171634,186.35457557083117,194.86788897837795,160.13341822060409,114.02276480305548,72.89794686649176,36.06999659076962,21.09581064814124,1.5980634927691455,966.0555803035368,500.0927569766586,656.2357637168482,71.68429144845932,3.359063894230653,"POLYGON ((-48.435345514549745 -1.3018073420649146, -48.40722294902246 -1.2785237657808146, -48.41308479198386 -1.2425501259297769, -48.44706475869211 -1.2298634103624904, -48.475182319995504 -1.2531451434693253, -48.4693249218168 -1.289115432094053, -48.435345514549745 -1.3018073420649146))",868044497ffffff,POINT (-48.441203349903475 -1.2658347713373956),150140260000072,1501402042.0,150140260.0,1503.0,1501402.0,15014026000,Região Norte,Pará,BELÉM,ICOARACI
3.752904627881032,554.7069750771458,947.2416768082724,976.6847525986068,1145.9991323016002,396.96071849816406,438.9834691572984,7.447291848362297,236.77477552369035,257.651979844859,464.1566596179913,163.5052731471938,184.41987088828407,196.81797118223236,161.50586484211485,115.14153162504356,73.54763606041983,35.515718660774844,21.045357755833574,1.5973132690496503,965.2120868195566,502.4128308687497,648.5505456869032,72.19547702875494,3.319217508744015,"POLYGON ((-48.39549710262778 -1.3504812099041597, -48.36736955836363 -1.3271958018519192, -48.37323469893662 -1.2912154154019402, -48.40722294902246 -1.2785237657808146, -48.435345514549745 -1.3018073420649146, -48.42948481173721 -1.3377843965103589, -48.39549710262778 -1.3504812099041597))",86804694fffffff,POINT (-48.40135825140571 -1.3145018885969155),150080005000369,1500800000.0,150080005.0,1503.0,1500800.0,15008000500,Região Norte,Pará,ANANINDEUA,ANANINDEUA
3.7523605367024704,553.76051921266,945.6226725597552,974.8743727887309,1144.02038404548,395.8842358846291,437.66996406363614,7.414348726073472,235.9504147728748,257.0152846897672,463.129637588933,163.20069106264947,183.9663842764841,196.295624766047,160.96074861804794,114.778967342995,73.42516829374618,35.52255781269942,21.039948431876653,1.5861131225101466,962.86169828542,501.0924459172569,647.4235088186398,71.8436298865701,3.322239533623219,"POLYGON ((-48.37323469893662 -1.2912154154019402, -48.34510776429675 -1.267928256703204, -48.35097404002251 -1.2319513075515998, -48.38496282063569 -1.2192648231661942, -48.41308479198386 -1.2425501259297769, -48.40722294902246 -1.2785237657808146, -48.37323469893662 -1.2912154154019402))",868046867ffffff,POINT (-48.3790969927124 -1.255239517648233),150080005000369,1500800000.0,150080005.0,1503.0,1500800.0,15008000500,Região Norte,Pará,ANANINDEUA,ANANINDEUA
